iter	Passed	Remaining
0	1	1962
1	3	1922
2	5	1854
3	7	1827
4	9	1796
5	10	1791
6	12	1783
7	14	1764
8	15	1755
9	17	1740
10	18	1702
11	20	1704
12	22	1696
13	23	1688
14	25	1683
15	27	1681
16	28	1675
17	30	1668
18	32	1662
19	33	1662
20	35	1659
21	37	1661
22	38	1655
23	40	1655
24	42	1652
25	44	1651
26	45	1650
27	47	1647
28	49	1644
29	50	1644
30	52	1640
31	54	1639
32	55	1637
33	57	1638
34	59	1636
35	61	1635
36	62	1633
37	64	1631
38	66	1628
39	67	1626
40	69	1624
41	71	1622
42	72	1620
43	74	1619
44	76	1618
45	77	1616
46	79	1614
47	81	1613
48	82	1610
49	84	1607
50	86	1603
51	87	1600
52	89	1597
53	91	1594
54	92	1594
55	94	1592
56	96	1589
57	97	1586
58	99	1585
59	101	1584
60	102	1581
61	104	1579
62	106	1577
63	107	1575
64	109	1573
65	110	1570
66	112	1568
67	114	1566
68	115	1564
69	117	1562
70	119	1560
71	120	1558
72	122	1555
73	124	1553
74	125	1551
75	127	1549
76	129	1546
77	130	1544
78	132	1542
79	133	1540
80	135	1537
81	137	1536
82	138	1534
83	140	1531
84	142	1529
85	143	1527
86	145	1525
87	146	1523
88	148	1522
89	150	1520
90	151	1518
91	153	1515
92	155	1513
93	156	1511
94	158	1510
95	160	1508
96	161	1506
97	163	1504
98	165	1505
99	166	1502
100	168	1501
101	170	1499
102	171	1497
103	173	1495
104	175	1493
105	177	1493
106	178	1491
107	180	1489
108	182	1488
109	183	1486
110	185	1483
111	186	1482
112	188	1480
113	190	1477
114	191	1474
115	193	1472
116	194	1470
117	196	1468
118	198	1466
119	199	1465
120	201	1463
121	203	1461
122	204	1459
123	206	1457
124	207	1455
125	209	1453
126	211	1452
127	212	1450
128	214	1449
129	216	1447
130	217	1445
131	219	1443
132	221	1442
133	222	1440
134	224	1439
135	226	1437
136	227	1435
137	229	1433
138	231	1431
139	232	1429
140	234	1428
141	236	1426
142	237	1424
143	239	1422
144	240	1420
145	242	1418
146	244	1417
147	245	1415
148	247	1413
149	249	1412
150	250	1410
151	252	1409
152	254	1407
153	255	1405
154	257	1403
155	259	1401
156	260	1400
157	262	1398
158	264	1397
159	265	1395
160	267	1393
161	269	1392
162	270	1390
163	272	1389
164	274	1387
165	275	1386
166	277	1384
167	279	1383
168	281	1381
169	282	1380
170	284	1378
171	286	1377
172	287	1375
173	289	1373
174	290	1371
175	292	1369
176	294	1368
177	295	1366
178	297	1364
179	299	1363
180	300	1361
181	302	1359
182	304	1358
183	305	1356
184	307	1354
185	309	1352
186	310	1351
187	312	1349
188	314	1348
189	315	1346
190	317	1345
191	319	1343
192	320	1341
193	322	1340
194	324	1339
195	326	1337
196	327	1336
197	329	1334
198	331	1333
199	333	1332
200	334	1330
201	336	1329
202	338	1327
203	339	1325
204	341	1324
205	343	1322
206	344	1320
207	346	1318
208	348	1317
209	349	1315
210	351	1313
211	353	1312
212	354	1310
213	356	1309
214	358	1307
215	359	1305
216	361	1304
217	363	1302
218	364	1300
219	366	1298
220	367	1297
221	369	1295
222	371	1293
223	373	1292
224	374	1290
225	376	1288
226	378	1287
227	379	1285
228	381	1283
229	382	1282
230	384	1280
231	386	1278
232	387	1277
233	389	1275
234	391	1273
235	392	1271
236	394	1270
237	396	1268
238	397	1266
239	399	1265
240	401	1263
241	402	1261
242	404	1260
243	406	1258
244	407	1256
245	409	1254
246	411	1254
247	413	1252
248	414	1250
249	416	1249
250	418	1247
251	419	1245
252	421	1243
253	422	1242
254	424	1240
255	426	1238
256	427	1237
257	429	1235
258	431	1233
259	432	1231
260	434	1230
261	436	1228
262	437	1226
263	439	1225
264	441	1223
265	442	1221
266	444	1220
267	446	1218
268	447	1216
269	449	1215
270	451	1213
271	452	1211
272	454	1210
273	456	1208
274	457	1207
275	459	1205
276	461	1203
277	462	1202
278	464	1200
279	466	1198
280	467	1197
281	469	1195
282	471	1193
283	472	1191
284	474	1190
285	476	1188
286	477	1186
287	479	1185
288	481	1183
289	482	1182
290	484	1180
291	486	1178
292	487	1177
293	489	1175
294	491	1173
295	492	1172
296	494	1170
297	496	1169
298	498	1168
299	499	1166
300	501	1164
301	503	1163
302	505	1161
303	506	1160
304	508	1158
305	510	1156
306	511	1155
307	513	1153
308	515	1151
309	516	1150
310	518	1148
311	520	1147
312	522	1145
313	523	1144
314	525	1142
315	527	1140
316	528	1139
317	530	1137
318	532	1135
319	533	1134
320	535	1132
321	536	1130
322	538	1128
323	540	1127
324	541	1125
325	543	1123
326	545	1122
327	546	1120
328	548	1119
329	550	1117
330	552	1115
331	553	1114
332	555	1112
333	557	1110
334	558	1109
335	560	1107
336	562	1105
337	563	1104
338	565	1102
339	567	1100
340	568	1099
341	570	1097
342	572	1095
343	573	1094
344	575	1092
345	577	1090
346	578	1089
347	580	1087
348	582	1085
349	583	1084
350	585	1082
351	587	1080
352	588	1078
353	590	1077
354	592	1075
355	593	1073
356	595	1072
357	596	1070
358	598	1068
359	600	1067
360	602	1065
361	603	1064
362	605	1062
363	607	1060
364	608	1058
365	610	1057
366	612	1055
367	613	1053
368	615	1052
369	616	1050
370	618	1048
371	620	1047
372	621	1045
373	623	1043
374	625	1042
375	627	1040
376	628	1039
377	630	1037
378	632	1035
379	633	1034
380	635	1032
381	637	1031
382	639	1029
383	640	1027
384	642	1026
385	644	1024
386	645	1023
387	647	1021
388	649	1019
389	650	1018
390	652	1016
391	654	1014
392	655	1013
393	657	1011
394	659	1010
395	661	1008
396	662	1006
397	664	1005
398	666	1003
399	668	1002
400	669	1000
401	671	998
402	673	997
403	674	995
404	676	993
405	678	992
406	679	990
407	681	988
408	683	987
409	684	985
410	686	983
411	688	982
412	689	980
413	691	978
414	693	977
415	694	975
416	696	974
417	698	972
418	700	970
419	701	969
420	703	967
421	705	965
422	706	964
423	708	962
424	710	960
425	711	959
